objectid,dname,dmname,dvname,dcode,mcode,vcode,dmv_code,hname,district,subdistt,town_villa,ward,eb,level,name,tru,no_hh,tot_p,tot_m,tot_f,p_06,m_06,f_06,p_sc,m_sc,f_sc,p_st,m_st,f_st,p_lit,m_lit,f_lit,p_ill,m_ill,f_ill,tot_work_p,tot_work_m,tot_work_f,mainwork_p,mainwork_m,mainwork_f,main_cl_p,main_cl_m,main_cl_f,main_al_p,main_al_m,main_al_f,main_hh_p,main_hh_m,main_hh_f,main_ot_p,main_ot_m,main_ot_f,margwork_p,margwork_m,margwork_f,marg_cl_p,marg_cl_m,marg_cl_f,marg_al_p,marg_al_m,marg_al_f,marg_hh_p,marg_hh_m,marg_hh_f,marg_ot_p,marg_ot_m,marg_ot_f,margwork_3,margwork_4,margwork_5,marg_cl_3_,marg_cl_31,marg_cl_32,marg_al_3_,marg_al_31,marg_al_32,marg_hh_3_,marg_hh_31,marg_hh_32,marg_ot_3_,marg_ot_31,marg_ot_32,margwork_0,margwork_1,margwork_2,marg_cl_0_,marg_cl_01,marg_cl_02,marg_al_0_,marg_al_01,marg_al_02,marg_hh_0_,marg_hh_01,marg_hh_02,marg_ot_0_,marg_ot_01,marg_ot_02,non_work_p,non_work_m,non_work_f,source_table,created_at,district_28_legacy,district_code_28_legacy,district_name,district_lgd,SHAPE__Length,SHAPE__Area
424,WEST GODAVARI,BHIMAVARAM,Losarigutlapadu,"05","36","012","0536012",LOSARI,546,4984,588735,0,0,VILLAGE,Losarigutlapadu,Rural,6390,22831,11467,11364,2274,1131,1143,1545,745,800,75,34,41,14022,7572,6450,8809,3895,4914,10831,7031,3800,9253,6582,2671,976,914,62,6899,4549,2350,35,28,7,1343,1091,252,1578,449,1129,34,24,10,1380,367,1013,10,6,4,154,52,102,1337,399,938,25,19,6,1207,336,871,10,6,4,95,38,57,241,50,191,9,5,4,173,31,142,0,0,0,59,14,45,12000,4436,7564,villagewise_population,2026/02/20 19:03:55,West Godavari,"10",West Godavari,523,5562.48976341319,1296566.91596138
440,WEST GODAVARI,BHIMAVARAM,Narasimhapuram,"05","36","003","0536003",RAJIVNAGAR,546,4984,588727,0,0,VILLAGE,Narasimhapuram,Rural,589,2075,1016,1059,190,95,95,331,160,171,50,27,23,1324,682,642,751,334,417,1085,657,428,745,637,108,45,44,1,446,372,74,2,1,1,252,220,32,340,20,320,5,2,3,329,16,313,0,0,0,6,2,4,230,14,216,2,1,1,225,13,212,0,0,0,3,0,3,110,6,104,3,1,2,104,3,101,0,0,0,3,2,1,990,359,631,villagewise_population,2026/02/20 19:03:55,West Godavari,"10",West Godavari,523,6319.52239303225,1920586.75623273
8813,WEST GODAVARI,BHIMAVARAM,Annavaram,"05","36","001","0536001",VELLATURU,546,4984,588726,0,0,VILLAGE,Annavaram,Rural,404,1396,697,699,128,65,63,96,47,49,19,10,9,943,491,452,453,206,247,667,445,222,547,442,105,48,45,3,358,273,85,0,0,0,141,124,17,120,3,117,0,0,0,107,3,104,4,0,4,9,0,9,118,2,116,0,0,0,106,2,104,4,0,4,8,0,8,2,1,1,0,0,0,1,1,0,0,0,0,1,0,1,729,252,477,villagewise_population,2026/02/20 19:03:55,West Godavari,"10",West Godavari,523,7824.49555298642,3421329.43824194
8827,WEST GODAVARI,BHIMAVARAM,Bhimavaram (M), , , , , ,0,0,0,0,0, , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,villagewise_population,2026/02/20 19:03:55,West Godavari,"10",West Godavari,523,8464.92432877462,3237142.71347577
8831,WEST GODAVARI,BHIMAVARAM,Kovvada,"05","36","002","0536002",KOVVADAPUNTHA,546,4984,588728,0,0,VILLAGE,Kovvada,Rural,819,2861,1395,1466,322,165,157,216,114,102,5,3,2,1784,905,879,1077,490,587,1264,872,392,1186,848,338,69,65,4,711,438,273,3,3,0,403,342,61,78,24,54,15,9,6,43,4,39,0,0,0,20,11,9,47,19,28,15,9,6,23,2,21,0,0,0,9,8,1,31,5,26,0,0,0,20,2,18,0,0,0,11,3,8,1597,523,1074,villagewise_population,2026/02/20 19:03:55,West Godavari,"10",West Godavari,523,9094.76088972605,2336914.99199301
8833,WEST GODAVARI,BHIMAVARAM,Bhimavaram (Rural), , , , , ,0,0,0,0,0, , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,villagewise_population,2026/02/20 19:03:55,West Godavari,"10",West Godavari,523,28456.2764249175,11208214.0308143
8835,WEST GODAVARI,BHIMAVARAM,Gunupudi, , , , , ,0,0,0,0,0, , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,villagewise_population,2026/02/20 19:03:55,West Godavari,"10",West Godavari,523,17168.6669612357,8310951.69941314
8851,WEST GODAVARI,BHIMAVARAM,Chinamiram (Rural),"05","36","004","0536004",CHINAMIRAM,546,4984,588729,0,0,VILLAGE,Chinamiram (Part),Rural,1267,4699,2304,2395,439,208,231,618,298,320,25,9,16,3356,1727,1629,1343,577,766,1884,1464,420,1853,1445,408,183,177,6,827,580,247,96,76,20,747,612,135,31,19,12,2,1,1,4,2,2,5,2,3,20,14,6,29,18,11,2,1,1,4,2,2,5,2,3,18,13,5,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,2815,840,1975,villagewise_population,2026/02/20 19:03:55,West Godavari,"10",West Godavari,523,10559.9639166385,5452419.60198505
8857,WEST GODAVARI,BHIMAVARAM,Rayalam (Rural),"05","36","005","0536005",BALUSUMUDI,546,4984,588730,0,0,VILLAGE,Rayalam (R) (Part),Rural,1648,5863,2956,2907,569,292,277,794,414,380,14,7,7,4276,2222,2054,1587,734,853,2485,1838,647,2331,1812,519,191,182,9,1007,689,318,40,36,4,1093,905,188,154,26,128,1,1,0,104,15,89,11,0,11,38,10,28,114,22,92,0,0,0,81,14,67,7,0,7,26,8,18,40,4,36,1,1,0,23,1,22,4,0,4,12,2,10,3378,1118,2260,villagewise_population,2026/02/20 19:03:55,West Godavari,"10",West Godavari,523,8833.39491608587,4518185.94847253
8871,WEST GODAVARI,BHIMAVARAM,Taderu,"05","36","008","0536008",HARIJANAWADA,546,4984,588731,0,0,VILLAGE,Taderu,Rural,1031,3666,1837,1829,341,161,180,282,138,144,27,11,16,2453,1281,1172,1213,556,657,1603,1155,448,1411,1062,349,108,99,9,1022,735,287,11,11,0,270,217,53,192,93,99,2,0,2,142,83,59,12,1,11,36,9,27,108,72,36,2,0,2,87,67,20,6,0,6,13,5,8,84,21,63,0,0,0,55,16,39,6,1,5,23,4,19,2063,682,1381,villagewise_population,2026/02/20 19:03:55,West Godavari,"10",West Godavari,523,16661.1554271859,9554443.26467486
